stadium,city,state,capacity
Adelaide Oval,Adelaide,South Australia,53500
Albert Park,Gympie,Queensland,5000
Albury Sports Ground,Albury,New South Wales,8000
Allan Border Field,Brisbane,Queensland,4000
Avalon Airport Oval,Melbourne,Victoria,8000
Bankstown Oval,Sydney,New South Wales,5000
Barry Plant Park,Melbourne,Victoria,10000
Cazalys Stadium,Cairns,Queensland,13500
Blacktown International Sportspark,Sydney,New South Wales,10000
Bradman Oval,Bowral,New South Wales,5000
C.ex Coffs International Stadium,Coffs Harbour,New South Wales,10000
Camberwell Sports Ground,Melbourne,Victoria,5000










